shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 784.41, t1: 20.0, ball_x1: 152.72, ans: 275.84
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 864.45, t1: 20.0, ball_x1: 172.84, ans: 327.9
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 888.92, t1: 20.0, ball_x1: 180.79, ans: 341.31
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 720.36, t1: 20.0, ball_x1: 145.09, ans: 222.42
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 898.93, t1: 20.0, ball_x1: 184.31, ans: 346.42
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 783.88, t1: 20.0, ball_x1: 152.56, ans: 275.54
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 761.72, t1: 20.0, ball_x1: 148.41, ans: 259.15
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 739.68, t1: 20.0, ball_x1: 146.81, ans: 239.34
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 737.6, t1: 20.0, ball_x1: 146.17, ans: 238.15
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 804.98, t1: 20.0, ball_x1: 157.0, ans: 290.47
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 797.66, t1: 20.0, ball_x1: 155.7, ans: 284.95
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 705.58, t1: 20.0, ball_x1: 145.38, ans: 207.22
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 714.9, t1: 20.0, ball_x1: 145.75, ans: 216.03
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 780.3, t1: 20.0, ball_x1: 151.45, ans: 273.5
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 713.53, t1: 20.0, ball_x1: 145.33, ans: 215.25
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 723.24, t1: 20.0, ball_x1: 145.98, ans: 224.06
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 816.02, t1: 20.0, ball_x1: 159.6, ans: 297.89
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 758.57, t1: 20.0, ball_x1: 149.02, ans: 255.15
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 701.94, t1: 20.0, ball_x1: 144.26, ans: 205.15
shelf_width: 100.0, shelf_angle: 30, shelf_x: 500.0, shelf_y: 450.0, radius: 10, elasticity: 0.5, ball_x0: 500, ball_y0: 890.43, t1: 20.0, ball_x1: 181.26, ans: 342.17
